Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.00mm,1,33UF,
"C2, C4",C_Disc_D3.8mm_W2.6mm_P2.50mm,2,.01,
C3,CP_Radial_D5.0mm_P2.00mm,1,10UF,
C5,CP_Radial_D5.0mm_P2.00mm,1,22UF,
D1,D_A-405_P5.08mm_Vertical_AnodeUp,1,D_Zener,
D2,D_DO-41_SOD81_P5.08mm_Vertical_KathodeUp,1,1N4004,
D3,D_DO-41_SOD81_P3.81mm_Vertical_KathodeUp,1,1N4001,
J1,PinHeader_2x04_P2.54mm_Vertical,1,ESP01,
J2,PinHeader_1x02_P2.54mm_Vertical,1,In3,
J3,PinHeader_1x02_P2.54mm_Vertical,1,In,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Pin,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Pout,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Rly,
J7,PinHeader_1x03_P2.54mm_Vertical,1,HV In,
Q1,TO-92_Inline,1,2N7000,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,2.2k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,1k,
R3,R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical,1,68K,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,47K,
"R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,3.3K,
SW1,SW_Tactile_Straight_KSL0Axx1LFTR,1,SW_Push,
U1,TO-220-3_Horizontal_TabDown,1,LM1084-3.3,
U2,DIP-4_W7.62mm,1,PC817,
